Index,Title,Website,Date,Link
162,"""Norman Lewis – First Major African American Abstract Expressionist""",Violette de Mazia Foundation,"October 21, 2014",https://web.archive.org/web/20141021221800/http://demazia.org/features/norman-lewis-first-major-african-american-abstract-expressionist
163,NaN,NaN,"October 21, 2014",https://www.metmuseum.org/exhibitions/listings/2022/in-america-anthology
164,"""Brief History of The Museum""",Metmuseum,"October 24, 2012",http://www.metmuseum.org/about-the-museum/press-room/general-information/2005/a-brief-history-of-the-museum
165,"""Acquisitions of the month: August–September 2018""",Apollo Magazine,"October 3, 2018",https://www.apollo-magazine.com/acquisitions-of-the-month-august-september-2018/
166,"""Interactive Guide to Islamic Art Galleries at Met""",The New York Times,"October 30, 2011",http://archive.nytimes.com/www.nytimes.com/interactive/2011/10/30/arts/design/20111030-met-islamic-wing.html
167,"""The New American Wing""",metmuseum,"October 30, 2013",http://www.metmuseum.org/search-results?ft=American+Wing&x=7&y=8
168,"""Brimful museums put art under the hammer""",The Times,"October 31, 2005","http://www.timesonline.co.uk/article/0,,11069-1851184,00.html"
169,NaN,NaN,"September 10, 2013",https://www.metmuseum.org/press/news/2013/diana-craig-patch
170,"""Ken Sunshine Joins the Met's Board of Trustees""",New York Post,"September 13, 2014",http://pagesix.com/2014/09/13/ken-sunshine-joins-the-mets-board-of-trustees/
171,"""Met Announces Patricia Marroquin Norby as First Full-Time Curator of Native American Art""",www.artforum.com,"September 13, 2020",https://www.artforum.com/news/met-announces-patricia-marroquin-norby-as-first-full-time-curator-of-native-american-art-83908
172,"""Investigators, Citing Looting, Have Seized 27 Antiquities From the Met""",The New York Times,"September 2, 2022",https://www.nytimes.com/2022/09/02/arts/design/met-museum-looting.html
173,"""The Frick Likely to Take Over the Met Breuer""",The New York Times,"September 21, 2018",https://www.nytimes.com/2018/09/21/arts/design/met-breuer-frick-collection.html
174,"""The Metropolitan Museum of Art and The Frick Collection Planning Collaboration to Enable Frick to Use Whitney Museum of American Art's Breuer Building During Frick's Upgrade and Renovation""", (PDF),"September 21, 2018",https://www.frick.org/sites/default/files/pdf/press/2018/FrickMetDiscussion.pdf
175,"""Qatar Has Given the Metropolitan Museum of Art a 'Generous' Gift to Supercharge Its Islamic Art Department""",Artnet News,"September 22, 2022",https://news.artnet.com/art-world/the-metropolitan-museum-of-art-qatar-gift-2180431
176,"""The Metropolitan Museum of Art – Exhibitions""",Metmuseum,"September 23, 2011",http://www.metmuseum.org/special/
177,"""The Metropolitan Museum of Art | About""",www.artinfo.com,"September 26, 2011",https://web.archive.org/web/20110926002431/http://www.artinfo.com/galleryguide/19639/6185/the-metropolitan-museum-of-art-new-york/about/
178,"""The Met Is Looking to Leave the Breuer Building After Just Two Years""",Architectural Digest,"September 26, 2018",https://www.architecturaldigest.com/story/met-breuer-building-move
179,"""Modern Photography in a Brand-New Space""",The New York Times,"September 28, 2007",https://www.nytimes.com/2007/09/28/arts/design/28mens.html
180,"""Arms and Armor: Notable Acquisitions 2003–2014""",Archived from the original on September ,"September 28, 2017",http://www.metmuseum.org/exhibitions/listings/2014/art-of-collecting-arms-and-armor
181,"""New partnership between Qatar Museums and New York City art museum strengthens the continued idea of scholarly cooperation""",Magzoid,"September 28, 2022",https://magzoid.com/new-partnership-between-qatar-museums-and-new-york-city-art-museum-strengthens-the-continued-idea-of-scholarly-cooperation/
182,"""The Fall's Most Fascinating Art Show.""", The New York Times,"September 4, 2017",https://www.nytimes.com/2017/09/04/arts/design/director-metropolitan-museum-search-daniel-weiss.html?rref=collection%2Ftimestopic%2FMetropolitan%20Museum%20of%20Art&action=click&contentCollection=timestopics&region=stream&module=stream_unit&version=latest&contentPlacement=2&pgtype=collection
183,"""Chanel Returning to the Met for Its Pre-Fall Show""",WWD,"September 4, 2018",https://wwd.com/fashion-news/fashion-scoops/chanel-returning-to-the-met-for-its-pre-fall-show-1202774706/
184,"""Libraries and Study Centers""",Archived from the original on September ,"September 8, 2013",http://www.metmuseum.org/research/libraries-and-study-centers/nolen-library
185,"""Patricia Marroquin Norby Named Associate Curator of Native American Art at The Metropolitan Museum of Art""",www.metmuseum.org,"September 8, 2020",https://www.metmuseum.org/press/news/2020/patricia-marroquin-norby
186,"""Andrew Bolton Takes Over Costume Institute""",Artnet News,"September 9, 2015",https://news.artnet.com/art-world/andrew-bolton-curator-metropolitan-museum-331144
187,"""The Met Hires Its First Full-Time Native American Curator""",The New York Times,"September 9, 2020",https://www.nytimes.com/2020/09/09/arts/design/met-museum-native-american-curator.html
